case index 0 = {
num freq, 9788
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
212.5, 3.38365e-32, 1, 2.79978e-17, 0.000587808, 0.987779, 1, 1, 0.00327746, 1.99908e-09, 1, 0.972708, 1, 1, 1, 1, 2.79978e-17, 1, 1, 0.997333, 0.990426, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
213.5, 4.52422e-32, 1, 9.75947e-17, 0.000246626, 0.988756, 1, 1, 0.00372295, 1.9928e-09, 1, 0.973119, 1, 1, 1, 1, 9.75947e-17, 1, 1, 0.997379, 0.991361, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
214.5, 5.74292e-32, 1, 3.61434e-16, 9.4086e-05, 0.989901, 1, 1, 0.0042132, 1.98653e-09, 1, 0.973524, 1, 1, 1, 1, 3.61434e-16, 1, 1, 0.997476, 0.992404, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
215.5, 6.78921e-32, 1, 1.4041e-15, 3.24395e-05, 0.9909, 1, 1, 0.00475103, 1.9803e-09, 1, 0.973919, 1, 1, 1, 1, 1.4041e-15, 1, 1, 0.997445, 0.993439, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
216.5, 7.39038e-32, 1, 5.65341e-15, 1.0007e-05, 0.991603, 1, 1, 0.00533907, 1.9741e-09, 1, 0.97431, 1, 1, 1, 1, 5.65341e-15, 1, 1, 0.997354, 0.994234, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
217.5, 7.38689e-32, 1, 2.33296e-14, 2.74392e-06, 0.992367, 1, 1, 0.00597999, 1.96794e-09, 1, 0.9747, 1, 1, 1, 1, 2.33296e-14, 1, 1, 0.997398, 0.994954, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
218.5, 6.75002e-32, 1, 9.7654e-14, 6.6908e-07, 0.993206, 1, 1, 0.00667638, 1.96178e-09, 1, 0.975089, 1, 1, 1, 1, 9.7654e-14, 1, 1, 0.997573, 0.995622, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
219.5, 5.58047e-32, 1, 4.10715e-13, 1.45831e-07, 0.993733, 1, 1, 0.00743082, 1.95569e-09, 1, 0.975468, 1, 1, 1, 1, 4.10715e-13, 1, 1, 0.997672, 0.996057, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
220.5, 4.09563e-32, 1, 1.72078e-12, 2.84396e-08, 0.994048, 1, 1, 0.00824585, 1.94968e-09, 1, 0.975842, 1, 1, 1, 1, 1.72078e-12, 1, 1, 0.997597, 0.996442, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
